Pseudomonas
Leptospira
Actinobacillus pleuropneumoniae
Aeromonas salmonicida
Bacteroides
Campylobacter fetus
Caslick
Coggins
Corynebacterium
Drechslera
Ehrlichia
Erysipelothrix
Johnin
Knotts
Louping
Lucke
Yersinia
Malpighian
Treponema
Goldston
Lundberg
Petty
Robin
Temple
Heberden
Bird
Zadek
Keel
Wookey
Pacheco's
Pilotto
Zymbal's
Madelung
Alfi
Alazami
Rubella
Dinno
Jawad
Segher*	
Simosa
Sweeney
Traboulsi
Bohn*
Braden
Hamamy
Tucker
Friedmann
Whyte
Ogden
Shaheen
Roifman
Strassmann
milliliter
milligram
Waardenburg
Gibbs
Tompkins
Schauder
Kostmann
Curling's
Huntington
Meckel
A-a
A-ase
A-esterase
A-fucosidase
A.
A1
A2
A4
A85
A>1<
A>2<
A>gamma<
Aa
Aachen
Aagenaes
Aarskog
Abadina
Abaete
Abazinian
Abbe
Abbott's
Aberdeen
Abessinier
Abg
Abkhaz*	-- country / people
Ablennes
Abraham
Abram's
Abramis
Abras
Abrikossoff's
Abscisin
Abscissin
Abtenauer
Abu
Abudefduf
Abyssinian*
Ac	-- chemical element
Acabani
Acado
Acanthameba
Acantharchus
Acanthemblemaria
Acanthocheilonema
Acanthocybium
Acanthogobius
Acantholumpenus
Acanthophis
Acara
Accident
Ace
Aceh
Acer
Aceta*
Achard*
Achenbach's
Achham
Achillea
Achilles
Achillurbaniidae
Achinese
Achirus
Acholi
Achromobacter,
Ackerman
Ackhan
Acosta's
Acouchy
Acquinite
Acrocheilus
Acrotheca
Actinea
Activase*
Acutens
Acyrtops
Adam's
Adamawa
Adams*
Adangme
Addison*
Aden
Adenovirus
Adie's
Adinia
Admiralty
Adrenalin
Ads
Adson's
Advaitin
Advance
Advent
Adygei
Aerobacter
Aeroflow
Aesculapian
Aetobatus
Afghan*	-- country / people
Africa*
Afrikaans
Ag	-- chemical element
Agalychnis
Agama
Agaricales
Agerolese
Aggregometer
Agkistrodon
Agogo
Agonomalus
Agonopsis
Agonostomus
Agonum
Agonus
Agosia
Agouti
Aguaruna
Agujo
Ah
Ahlfeld's
Ahlia
Ahmadi*
Aicardi*
Aidi
Ainhum
Aino
Ainu
Aipysurus
Airedale
Ak
Akabane
Akbash
Akee
Akepa
Akialoa
Akita
Akiyami
Al	-- chemical element
Ala
Alabama
Alacaluf
Alagille
Alagoas
Alajuela
Alambadi
Aland
Alano
Alaska*
Alastrim
Alba
Albania*	-- country / people
Albee
Albert*
Albese
Albright*
Albula
Alces
Aldabra
Alderney
Aldrete
Alectis
Alectrias
Alenquer
Alentejana
Alentejo
Alepisaurus
Aleppo
Aleurisma
Aleut*
Alexi
Alfombrilla
Alfortia
Alfuy
Algarvia
Algeria*	-- country / people
Algonkian
Algor*
Ali
Alice
Alkanal
Allen*
Allescheria
Allgrove
Alligator
Alliin
Allis*
Alloclinus
Allodermanyssus
Allolumpenus
Alloscardovia
Allosmerus
Allothunnus
Almaco
Almanzorena
Almoor
Alopex
Alopias
Alpers'
Alphitobius
Alport*
Alstrom
Altai*
Altamaha
Altay
Altemeier
Alur
Alvord
Alytes
Alzheimer*
Am	-- chemical element
Amapari
Amargosa
Amaryl*
Amastigote
Amato
Amazon*
Ambloplites
Amblycirrhitus
Amblyopsis
Amendola's
Ameraucana
American
Amerind*
Amethopterin
Amethyst
Ami
Amia
Amidoschwarz
Amish
Amistad
Amitrole
Ammocrypta
Ammodytes
Ammoidin
Ammon's
Ammospermophilus
Ammotragus
Ammotrechella
Amoy
Amphelikturus
Amphepramone
Amphimerus
Amphistichus
Amphiuma
Amsacta
Amsler
Amsterdam
Amurakh
Amyelois
Ana
Anabaptism
Anabaptist*
Anacystis
Ananindeua
Anarchias
Anarhichas
Anarrhichthys
Anas
Anatolian
Anchoviella
Ancistrodon
Ancona
Ancylistaceae
Ancylopsetta
Ancylostomatidae
Andalusian
Andaman*
Andean
Andersen*
Anderson*
